IP Address,Timestamp,Method,URL,Status,Size,User Agent
197.134.142.243,2024-05-30 00:51:42+00:00,PUT,/contact.html,404,4321,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
141.93.50.133,2024-06-11 12:33:22+00:00,PUT,/about.html,401,3941,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
59.73.4.1,2024-06-13 19:06:52+00:00,POST,/products.html,503,1236,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
204.111.235.216,2024-02-09 21:15:55+00:00,GET,/contact.html,503,1757,Mozilla/5.0 (Linux; Android 10; Pixel 4)
26.200.106.117,2024-01-03 16:28:10+00:00,PUT,/signup,500,2312,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
120.146.83.192,2024-03-23 10:02:57+00:00,GET,/about.html,500,4930,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
96.215.48.10,2024-01-30 11:32:01+00:00,PUT,/,302,4302,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
5.15.194.254,2024-07-30 14:00:44+00:00,GET,/signup,200,2161,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
51.20.16.61,2024-02-02 07:14:11+00:00,GET,/about.html,404,3251,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
208.113.244.167,2024-07-24 07:36:24+00:00,DELETE,/products.html,302,588,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
90.219.148.223,2024-02-04 21:06:28+00:00,POST,/signup,403,3696,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
87.149.252.41,2024-08-08 19:05:12+00:00,POST,/signup,301,318,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
4.47.220.32,2024-06-11 19:43:08+00:00,PUT,/contact.html,201,929,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10.47.51.169,2024-04-16 08:14:06+00:00,POST,/dashboard,301,3408,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
153.2.120.167,2024-07-31 04:29:45+00:00,DELETE,/,404,2108,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
132.239.205.181,2024-01-30 20:50:36+00:00,DELETE,/dashboard,404,2777,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
110.9.77.117,2024-06-28 01:58:12+00:00,GET,/index.html,301,3535,Mozilla/5.0 (Linux; Android 10; Pixel 4)
213.10.127.139,2024-03-27 08:03:00+00:00,POST,/login,404,4992,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
210.74.6.193,2024-06-19 11:59:07+00:00,DELETE,/products.html,200,3099,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
75.180.162.170,2024-02-10 01:39:20+00:00,GET,/about.html,404,803,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
36.79.57.60,2024-02-07 03:50:04+00:00,GET,/signup,301,2987,Mozilla/5.0 (Linux; Android 10; Pixel 4)
235.8.124.200,2024-08-11 22:59:51+00:00,PUT,/dashboard,404,392,Mozilla/5.0 (Linux; Android 10; Pixel 4)
101.201.14.213,2024-02-23 15:20:42+00:00,POST,/login,302,1670,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
236.201.111.108,2024-01-14 05:47:22+00:00,POST,/signup,201,4256,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
219.92.208.220,2024-04-19 15:33:51+00:00,GET,/login,302,211,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
170.14.124.212,2024-07-08 08:14:15+00:00,DELETE,/,302,4216,Mozilla/5.0 (Linux; Android 10; Pixel 4)
198.247.233.0,2024-05-07 10:01:25+00:00,DELETE,/index.html,301,3419,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
34.99.105.39,2024-05-01 20:54:27+00:00,DELETE,/,403,4579,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
75.227.253.44,2024-07-22 01:44:53+00:00,GET,/products.html,302,2857,Mozilla/5.0 (Linux; Android 10; Pixel 4)
246.19.30.5,2024-03-14 05:29:07+00:00,GET,/products.html,400,819,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
201.152.44.83,2024-05-17 17:23:27+00:00,GET,/login,301,1755,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
169.160.247.188,2024-06-16 12:17:29+00:00,GET,/login,503,1293,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
162.119.74.143,2024-07-08 01:45:41+00:00,PUT,/,400,4998,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
87.189.197.86,2024-05-23 22:59:05+00:00,GET,/index.html,400,1839,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
193.224.188.111,2024-07-20 09:05:59+00:00,POST,/login,201,1194,Mozilla/5.0 (Linux; Android 10; Pixel 4)
64.180.151.84,2024-04-23 22:14:56+00:00,DELETE,/login,401,2912,Mozilla/5.0 (X11; Ubuntu; Linux x86_64)
207.164.33.111,2024-06-12 19:54:38+00:00,POST,/index.html,404,2449,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)
