Status,Size,Referrer,User_Agent,Method,URL
500,3045,"""http://example.com/contact""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""POST",/contact
200,925,"""http://example.com/search""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/search
200,2804,"""http://example.com/""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""DELETE",/
500,4914,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""PUT",/profile
404,4999,"""http://example.com/""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/
500,1032,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/products
302,3879,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""GET",/contact
302,2937,"""http://example.com/login""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/login
404,3054,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/profile
500,3974,"""http://example.com/index.html""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/index.html
500,2897,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""DELETE",/dashboard
302,2460,"""http://example.com/submit-form""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/submit-form
200,2943,"""http://example.com/index.html""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""PUT",/index.html
500,1711,"""http://example.com/search""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/search
500,2269,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/profile
302,2349,"""http://example.com/search""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/search
500,996,"""http://example.com/dashboard""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""POST",/dashboard
200,1279,"""http://example.com/profile""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/profile
200,573,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""","""POST",/
404,4198,"""-""","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""","""POST",/submit-form
500,2699,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""DELETE",/
200,4465,"""-""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","""PUT",/index.html
200,1642,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/products
404,4689,"""http://example.com/dashboard""","""Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X)""","""PUT",/dashboard
404,2025,"""-""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""PUT",/profile
302,302,"""http://example.com/profile""","""Mozilla/5.0 (Linux; Android 10; SM-G970F)""","""DELETE",/profile
